"Function","Inferred responsibility","Evidence","Confidence"
"__SEH_epilog","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440bc3; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00440bd4","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440bd4; calling convention __cdecl; parameter count 1; return type undefined4.","Unmapped"
"__close","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440c57; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"FUN_00440cce","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440cce; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__freebuf","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440cf2; calling convention __cdecl; parameter count 1; return type void.","Unmapped"
"__flush","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440d1d; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"__fflush_lk","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440d7a; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"flsall","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440da8; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"FUN_00440e48","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440e48; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00440e74","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440e74; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__flushall","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440e7d; calling convention __cdecl; parameter count 0; return type int.","Unmapped"
"___endstdio","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440f2f; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__lock_file","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440f43; calling convention __cdecl; parameter count 1; return type void.","Unmapped"
"__lock_file2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440f72; calling convention __cdecl; parameter count 2; return type void.","Unmapped"
"__unlock_file","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440f95; calling convention __cdecl; parameter count 1; return type void.","Unmapped"
"__unlock_file2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440fc4; calling convention __cdecl; parameter count 2; return type void.","Unmapped"
"__stbuf","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00440fe7; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"__ftbuf","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044106f; calling convention __cdecl; parameter count 2; return type void.","Unmapped"
"write_char","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441099; calling convention __cdecl; parameter count 0; return type undefined.","Unmapped"
"write_multi_char","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004410cc; calling convention __cdecl; parameter count 2; return type undefined.","Unmapped"
"write_string","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004410f0; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"FUN_00441127","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441127; calling convention __cdecl; parameter count 3; return type int.","Unmapped"
"__openfile","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004418bc; calling convention __cdecl; parameter count 4; return type FILE *.","Unmapped"
"FUN_00441a24","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441a24; calling convention __stdcall; parameter count 0; return type int *.","Unmapped"
"FUN_00441a2d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441a2d; calling convention __stdcall; parameter count 0; return type ulong *.","Unmapped"
"__dosmaperr","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441a36; calling convention __cdecl; parameter count 1; return type void.","Unmapped"
"__getstream","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441aa9; calling convention __cdecl; parameter count 0; return type FILE *.","Unmapped"
"FUN_00441bc2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441bc2; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__aulldiv","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441bd0; calling convention __stdcall; parameter count 4; return type undefined8.","Unmapped"
"__mtinitlocks","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441c38; calling convention __cdecl; parameter count 0; return type int.","Unmapped"
"__mtdeletelocks","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441c81; calling convention __cdecl; parameter count 0; return type void.","Unmapped"
"FUN_00441cd6","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441cd6; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"FUN_00441ceb","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441ceb; calling convention __cdecl; parameter count 1; return type undefined4.","Unmapped"
"__lock","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441d6a; calling convention __cdecl; parameter count 1; return type void.","Unmapped"
"__callnewh","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441d9b; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"___heap_select","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441db6; calling convention __stdcall; parameter count 0; return type undefined4.","Unmapped"
"__heap_init","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441dd0; calling convention __cdecl; parameter count 0; return type int.","Unmapped"
"___sbh_heap_init","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441e21; calling convention __cdecl; parameter count 1; return type undefined4.","Unmapped"
"___sbh_find_block","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441e69; calling convention __cdecl; parameter count 1; return type uint.","Unmapped"
"___sbh_free_block","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00441e94; calling convention __cdecl; parameter count 2; return type undefined.","Unmapped"
"___sbh_alloc_new_region","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004421ac; calling convention __stdcall; parameter count 0; return type undefined4 *.","Unmapped"
"___sbh_alloc_new_group","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442263; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"___sbh_resize_block","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442369; calling convention __cdecl; parameter count 3; return type undefined4.","Unmapped"
"___sbh_alloc_block","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442648; calling convention __cdecl; parameter count 1; return type int *.","Unmapped"
"___ascii_strnicmp","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442950; calling convention __cdecl; parameter count 3; return type int.","Unmapped"
"FUN_004429b1","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004429b1; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"FUN_00442a7b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442a7b; calling convention __stdcall; parameter count 0; return type int.","Unmapped"
"___updatetlocinfo","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442b3d; calling convention __cdecl; parameter count 0; return type pthreadlocinfo.","Unmapped"
"FUN_00442b6f","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442b6f; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00442b78","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442b78; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__initptd","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442b96; calling convention __cdecl; parameter count 2; return type void.","Unmapped"
"__getptd","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442ba9; calling convention __cdecl; parameter count 0; return type _ptiddata.","Unmapped"
"FUN_00442c1a","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442c1a; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"FUN_00442d70","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442d70; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00442d7c","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442d7c; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00442d85","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442d85; calling convention __stdcall; parameter count 0; return type undefined4.","Unmapped"
"___crtExitProcess","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442df4; calling convention __cdecl; parameter count 1; return type void.","Unmapped"
"FUN_00442e24","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442e24; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00442e2d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442e2d; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00442e36","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442e36; calling convention __stdcall; parameter count 0; return type int.","Unmapped"
"FUN_00442e9b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442e9b; calling convention __cdecl; parameter count 3; return type undefined.","Unmapped"
"FUN_00442f6e","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442f6e; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"__exit","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442f7f; calling convention __cdecl; parameter count 1; return type void.","Unmapped"
"FUN_00442f90","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442f90; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__XcptFilter","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00442fae; calling convention __cdecl; parameter count 2; return type int.","Unmapped"
"__flsbuf","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443112; calling convention __cdecl; parameter count 2; return type int.","Unmapped"
"FUN_0044322b","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044322b; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"__fassign","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004432cc; calling convention __cdecl; parameter count 3; return type void.","Unmapped"
"__shift","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044330a; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__cftoe2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443327; calling convention __cdecl; parameter count 3; return type undefined.","Unmapped"
"FUN_004433d5","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004433d5; calling convention __cdecl; parameter count 4; return type int.","Unmapped"
"FUN_00443449","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443449; calling convention __cdecl; parameter count 3; return type undefined1 *.","Unmapped"
"FUN_004434e5","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004434e5; calling convention __cdecl; parameter count 3; return type undefined1 *.","Unmapped"
"FUN_0044354d","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044354d; calling convention __cdecl; parameter count 4; return type undefined.","Unmapped"
"__cfltcvt","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004435ed; calling convention __cdecl; parameter count 6; return type errno_t.","Unmapped"
"FUN_0044363e","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044363e; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__ms_p5_test_fdiv","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443650; calling convention __stdcall; parameter count 0; return type undefined4.","Unmapped"
"__ms_p5_mp_test_fdiv","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443690; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"TypeMatch","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004436b9; calling convention __cdecl; parameter count 3; return type int.","Unmapped"
"___FrameUnwindToState","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443726; calling convention __cdecl; parameter count 4; return type undefined.","Unmapped"
"FUN_004437d9","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004437d9; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"___DestructExceptionObject","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004437f4; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"FUN_00443839","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443839; calling convention __fastcall; parameter count 1; return type int.","Unmapped"
"FUN_00443856","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443856; calling convention __thiscall; parameter count 7; return type undefined4.","Unmapped"
"FUN_00443999","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443999; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"BuildCatchObject","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004439fd; calling convention __cdecl; parameter count 4; return type void.","Unmapped"
"CatchIt","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443b79; calling convention __cdecl; parameter count 11; return type void.","Unmapped"
"FUN_00443be0","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443be0; calling convention __cdecl; parameter count 8; return type undefined.","Unmapped"
"FUN_00443ca0","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443ca0; calling convention __cdecl; parameter count 8; return type undefined.","Unmapped"
"___InternalCxxFrameHandler","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443e82; calling convention __cdecl; parameter count 8; return type undefined4.","Unmapped"
"terminate","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443f24; calling convention __cdecl; parameter count 0; return type void.","Unmapped"
"_inconsistency","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443f59; calling convention __cdecl; parameter count 0; return type void.","Unmapped"
"__CallSettingFrame@12","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443f90; calling convention __stdcall; parameter count 3; return type undefined.","Unmapped"
"FUN_00443fdc","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00443fdc; calling convention __thiscall; parameter count 4; return type uint.","Unmapped"
"__msize","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00444094; calling convention __cdecl; parameter count 1; return type size_t.","Unmapped"
"FUN_00444101","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00444101; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_0044410a","Low-level CRT write wrapper.","Uses `WriteFile` on OS file handles.","High"
"__write","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004442af; calling convention __cdecl; parameter count 3; return type int.","Unmapped"
"FUN_00444336","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00444336; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"___ascii_stricmp","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00444360; calling convention __cdecl; parameter count 2; return type int.","Unmapped"
"__filbuf","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004443ae; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"FUN_0044448f","Low-level CRT read wrapper.","Uses `ReadFile` on OS file handles.","High"
"__read","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044465e; calling convention __cdecl; parameter count 3; return type int.","Unmapped"
"FUN_004446e5","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004446e5; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00444709","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00444709; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"cvtdate","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044497a; calling convention __cdecl; parameter count 9; return type int.","Unmapped"
"FUN_00444b32","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00444b32; calling convention __stdcall; parameter count 0; return type bool.","Unmapped"
"FUN_00444cbd","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00444cbd; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00444ceb","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00444ceb; calling convention __stdcall; parameter count 0; return type bool.","Unmapped"
"_gmtime","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00444d0b; calling convention __cdecl; parameter count 1; return type tm *.","Unmapped"
"__fseeki64_lk","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00444e12; calling convention __cdecl; parameter count 4; return type undefined4.","Unmapped"
"__fseeki64","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00444ea5; calling convention __cdecl; parameter count 3; return type int.","Unmapped"
"FUN_00444ee7","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00444ee7; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__ftelli64_lk","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00444ef1; calling convention __cdecl; parameter count 1; return type ulonglong.","Unmapped"
"__ftelli64","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00445086; calling convention __cdecl; parameter count 1; return type longlong.","Unmapped"
"FUN_004450c3","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004450c3; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__lseek_lk","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004450cd; calling convention __cdecl; parameter count 3; return type DWORD.","Unmapped"
"__lseek","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00445141; calling convention __cdecl; parameter count 3; return type long.","Unmapped"
"FUN_004451c8","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004451c8; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_004451ec","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004451ec; calling convention __stdcall; parameter count 0; return type undefined4.","Unmapped"
"___crtLCMapStringA","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004453ea; calling convention __cdecl; parameter count 9; return type int.","Unmapped"
"FUN_004457a6","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004457a6; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"__FF_MSGBANNER","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044591d; calling convention __cdecl; parameter count 0; return type void.","Unmapped"
"FUN_00445956","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00445956; calling convention __stdcall; parameter count 0; return type byte *.","Unmapped"
"__setenvp","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004459bf; calling convention __cdecl; parameter count 0; return type int.","Unmapped"
"FUN_00445a86","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00445a86; calling convention __thiscall; parameter count 3; return type undefined.","Unmapped"
"FUN_00445bf2","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00445bf2; calling convention __fastcall; parameter count 1; return type undefined4.","Unmapped"
"___crtGetEnvironmentStringsA","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00445c94; calling convention __cdecl; parameter count 0; return type LPVOID.","Unmapped"
"FUN_00445db6","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00445db6; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"___crtMessageBoxA","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00445e3e; calling convention __cdecl; parameter count 3; return type int.","Unmapped"
"FUN_00445ffd","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00445ffd; calling convention __stdcall; parameter count 1; return type undefined.","Unmapped"
"__set_osfhnd","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00446018; calling convention __cdecl; parameter count 2; return type int.","Unmapped"
"__free_osfhnd","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00446094; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"__get_osfhandle","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00446113; calling convention __cdecl; parameter count 1; return type intptr_t.","Unmapped"
"FUN_00446154","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00446154; calling convention __cdecl; parameter count 1; return type undefined4.","Unmapped"
"__unlock_fhandle","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004461c7; calling convention __cdecl; parameter count 1; return type void.","Unmapped"
"FUN_004461e9","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004461e9; calling convention __stdcall; parameter count 0; return type uint.","Unmapped"
"__commit","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00446336; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"FUN_004463d6","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004463d6; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__fcloseall","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004463f2; calling convention __cdecl; parameter count 0; return type int.","Unmapped"
"FUN_00446484","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00446484; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"__isatty","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 0044648d; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"___wctomb_mt","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004464b7; calling convention __cdecl; parameter count 3; return type int.","Unmapped"
"_wctomb","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00446517; calling convention __cdecl; parameter count 2; return type int.","Unmapped"
"__aulldvrm","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00446540; calling convention __stdcall; parameter count 4; return type undefined8.","Unmapped"
"FUN_004465d5","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004465d5; calling convention __thiscall; parameter count 6; return type uint.","Unmapped"
"__sopen","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004468bc; calling convention __cdecl; parameter count 3; return type int.","Unmapped"
"FUN_00446901","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00446901; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"___crtInitCritSecNoSpinCount@8","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00446911; calling convention __stdcall; parameter count 1; return type undefined4.","Unmapped"
"___crtInitCritSecAndSpinCount","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00446921; calling convention __cdecl; parameter count 2; return type undefined.","Unmapped"
"_memmove","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004469b0; calling convention __cdecl; parameter count 3; return type void *.","Unmapped"
"___free_lc_time","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00446ced; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"___free_lconv_num","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00446e7d; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"___free_lconv_mon","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00446edc; calling convention __cdecl; parameter count 1; return type undefined.","Unmapped"
"_strcspn","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00446fc0; calling convention __cdecl; parameter count 2; return type size_t.","Unmapped"
"___crtGetStringTypeA","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004470c8; calling convention __cdecl; parameter count 7; return type BOOL.","Unmapped"
"_strpbrk","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447290; calling convention __cdecl; parameter count 2; return type char *.","Unmapped"
"FUN_004472d0","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004472d0; calling convention __stdcall; parameter count 0; return type undefined4.","Unmapped"
"setSBCS","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004472ff; calling convention __cdecl; parameter count 0; return type undefined.","Unmapped"
"FUN_00447328","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447328; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"___updatetmbcinfo","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004474ba; calling convention __cdecl; parameter count 0; return type pthreadmbcinfo.","Unmapped"
"FUN_00447520","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447520; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
"FUN_00447529","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447529; calling convention __cdecl; parameter count 1; return type undefined4.","Unmapped"
"__setmbcp","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 004476bf; calling convention __cdecl; parameter count 1; return type int.","Unmapped"
"FUN_00447806","Unmapped; responsibility has not been inferred yet.","Listed in Decompiled/functions.tsv at entry 00447806; calling convention __stdcall; parameter count 0; return type undefined.","Unmapped"
